,Aspect_Ratio_H_W,Centroid_X_TV,Centroid_Y_P,Height_P_Range,Hull_Area,P_Max,Perimeter,Polynomial_Area,TV_Max,Width_TV_Range,ft_P_1,ft_P_2,ft_P_3,ft_TV_1,ft_TV_2,ft_TV_3
4795,3.2051511999139075,0.18612175000000036,0.7658124999999998,17.87,37.731007999999996,17.87,41.35690438913794,38.511635,5.5754,5.5754,612.6500000000001,605.126805888322,582.8772940497591,148.89740000000023,102.31685845711802,100.35816390818772
4796,1.258791215558758,8.921422,0.7758625000000001,20.44,192.058082,20.44,55.20219062802474,165.836831,16.2378,16.2378,620.69,616.94626332521,605.8111386165057,7137.1376,48.334410039551244,52.762375204315276
4797,2.3522096189720605,4.480188500000001,0.528075,21.94,96.71013500000004,21.94,44.04173177036138,77.06318100000003,9.327400000000003,9.327400000000003,422.46,421.2960244094693,417.8174237139316,3584.1508000000013,32.916117190042186,33.28656782502342
4798,1.9173530836851937,0.28652449999999985,0.7065625,16.62,47.073674000000004,16.62,34.17536923939007,37.35883500000003,8.668200000000002,8.668200000000002,565.25,561.0980767456616,548.7515913908888,229.2195999999999,194.30975537246084,192.31282400829517
4799,1.9669103931955532,0.6355847499999995,0.92895,21.09,79.83999900000002,21.09,50.147371037457376,45.52969099999999,10.7224,10.7224,743.16,729.7419996313149,690.3258120533836,508.4677999999997,270.96511227220236,265.08103206282374
4800,5.228136882129278,0.1263187499999999,0.3155375,16.5,21.25664700000001,16.5,32.43973043024472,22.503129,3.1559999999999997,3.1559999999999997,252.43,252.06622492780875,250.97692169601055,101.05499999999992,22.96692803836911,22.942708742377597
4801,1.866380688980452,0.44949975000000003,1.1101875,19.84,96.54670899999998,19.84,54.1355723588603,39.073240999999996,10.6302,10.6302,888.15,867.6494210231162,807.7985407076808,359.5998000000001,328.3492529186455,317.37793612081856
4802,2.858739809689996,2.1981140000000003,0.5469375,20.97,63.152979000000016,20.97,45.319556456037255,36.06246400000001,7.335400000000001,7.335400000000001,437.54999999999995,435.9868989489317,431.320147744887,1758.4912000000008,53.34351460901275,53.260199712259556
4803,0.8631921824104233,4.534487750000007,1.7599375000000002,20.14,278.808482,20.14,83.65626314627755,164.68043500000007,23.332000000000004,23.332000000000004,1407.95,1340.7804892516249,1151.0510188462315,3627.590200000006,868.4635475593934,819.4717438719554
4804,1.1309721991010486,8.726775999999997,1.0667,21.74,242.26121599999993,21.74,63.50468027665314,193.16573599999992,19.2224,19.2224,853.36,844.323909707641,817.6074598388828,6981.420799999996,157.09374462653741,162.93171617724826
4805,0.7889164546560686,4.443566750000006,1.6452999999999998,19.97,302.1737010000001,19.97,82.89390447359641,177.32220400000008,25.313200000000002,25.313200000000002,1316.2400000000002,1280.9283728974083,1178.725874845876,3554.8534000000054,929.1675176951464,900.1393006359568
4806,4.282677133161617,0.1620899999999999,0.3543625,20.95,31.19788599999999,20.95,37.617422849373824,6.603379999999991,4.8918,4.8918,283.49,283.09060439825527,281.8947667995265,129.6719999999999,48.2051686754482,48.12474928179518
4807,0.8611855234533717,1.291984500000001,1.450025,19.16,202.28992000000005,19.16,62.720511630737356,26.341189000000032,22.248400000000004,22.248400000000004,1160.02,1121.6713466864517,1011.0209699706367,1033.5876000000005,963.94581711951,918.1786104359306
4808,1.691763153158558,0.4068532500000005,0.8906875,16.92,65.17704299999998,16.92,40.483522446805,71.27219999999998,10.0014,10.0014,712.55,700.6366416312189,665.5855963655237,325.4826000000004,276.2652913033506,268.9085110175789
4809,1.3925115692048802,5.299666249999997,0.9308500000000001,19.86,148.954005,19.86,54.00336574437398,115.02280699999994,14.261999999999999,14.261999999999999,744.68,736.4988522806414,712.2907534466526,4239.732999999998,164.30875735736635,163.62738214537347
4810,0.8877370974856639,1.27946075,1.5407875000000002,20.93,260.04598200000004,20.93,79.31197802143421,139.59169800000006,23.5768,23.5768,1232.63,1185.2125741466023,1049.5290225848673,1023.5686,949.9884481541147,902.625446256544
4811,3.9723620476778425,0.11003025000000001,0.3728875,16.73,18.806838999999997,16.73,29.512029221692316,10.187593000000007,4.2116,4.2116,298.31,297.80096377875265,296.27735666124966,88.02420000000001,46.86864721409288,46.762126339101506
4812,1.3342965460181033,0.8545675000000006,1.2647875,21.61,156.215233,21.61,61.67555399119189,15.624433000000028,16.195800000000002,16.195800000000002,1011.8299999999999,981.3793982279922,893.2138172769371,683.6540000000006,605.7620420192867,580.5667668699596
4813,1.5795198385800084,1.7613837499999982,0.9803125,20.04,117.01772499999996,20.04,58.60542347692764,55.08322599999998,12.6874,12.6874,784.25,773.814254195597,743.0424571905096,1409.106999999999,260.7733230245475,256.92834604681445
4814,0.9751331821784733,3.467082000000002,1.406575,21.16,249.371065,21.16,80.9677036079659,141.16205100000005,21.6996,21.6996,1125.26,1094.407406456579,1005.0742962719075,2773.665600000002,667.7125602857225,644.5805515175153
4815,1.2526020672145546,2.0770587500000066,1.0164375,20.82,171.828315,20.82,64.46746815878123,94.68329900000006,16.6214,16.6214,813.15,800.7792672996195,764.371977690577,1661.647000000005,386.0847080828228,378.8473470323734
4816,1.1981420880396911,1.29052375000001,1.0896124999999999,20.43,176.70341100000016,20.43,67.15410248572215,83.92133300000015,17.051400000000008,17.051400000000008,871.69,857.2982671168546,815.0334931824061,1032.419000000008,462.81763756853,453.34035699603123
4817,0.7772162272913535,2.315726500000005,1.6225249999999998,22.76,379.50681100000014,22.76,103.75503308108104,170.78668700000014,29.284000000000006,29.284000000000006,1298.02,1254.6905893514672,1130.3788147721843,1852.5812000000044,1177.66915614834,1124.8294796891107
4818,1.0199988259006323,1.0157167500000002,1.3071875000000004,20.85,238.0750830000001,20.85,78.44388782653755,74.5356370000001,20.4412,20.4412,1045.75,1019.3168687872593,942.5156082137173,812.5734000000002,758.865354847865,733.6513175796292
4819,1.3081797007619123,1.971886,1.2951625000000002,26.51,291.3581930000001,26.51,87.84874388023832,138.853431,20.2648,20.2648,1036.13,1013.3868560692395,947.1068354641525,1577.5088,631.7373962925708,615.187533383797
4820,0.7127983341342302,5.125177749999998,1.415975,22.25,394.52683500000006,22.25,113.1993772769257,207.32934600000004,31.215000000000007,31.215000000000007,1132.78,1107.4614278161355,1033.8110892005423,4100.142199999998,899.4515139598386,874.7496467444203
4821,1.0502531486673081,0.8142092500000001,1.0475750000000001,20.08,158.89568099999997,20.08,67.54015133500235,31.880623000000057,19.1192,19.1192,838.06,822.7457613243879,777.8051468194243,651.3674000000001,627.306698725635,610.144491552372
