,Breath_ID,Time_Step,Flow,Pressure,Target_Class_0,Target_Class_1,Target_Class_2,Target_Class_3,Target_Class_4,Polynomial_Area,Hull_Area,ft_TV_1,ft_TV_2,ft_TV_3,ft_P_1,ft_P_2,ft_P_3,TV_Max,TV_Min,P_Max,P_Min,Perimeter,Width_TV_Range,Height_P_Range,Centroid_X_TV,Centroid_Y_P,Dynamic_Compliance,Aspect_Ratio_H_W,Curvature
46,46,0,2.06,5.07,0,0,0,0,0,380.48192299999994,574.9736230000002,2474.023400000001,1502.3524860784619,1317.9807572284567,2399.42,2162.0503495104367,1581.2041150041691,24.315400000000004,0.0,37.62,0.0,179.853835155061,24.315400000000004,37.62,3.092529250000002,2.9992749999999995,0.6463423710792133,1.5471676386158562,13.966659803965472
47,47,0,2.22,5.07,1,0,0,0,0,99.60442900000004,174.49424300000004,5481.619800000001,18.653290262311035,18.987311347312033,487.15,486.72920796731313,485.46834851751737,10.815800000000003,0.0,39.99,0.0,84.5927524129084,10.815800000000003,39.99,6.852024750000003,0.6089375,0.27046261565391355,3.6973686643613966,1.0307484241278293
48,48,0,3.49,0.37,1,0,0,0,0,240.83128199999993,363.88834799999984,3979.814400000002,765.7842664790854,734.9600605936765,1796.78,1753.2111864383953,1629.3360885041197,19.030999999999995,0.0,34.66,0.0,106.6585121185803,19.030999999999995,34.66,4.974768000000003,2.2459749999999996,0.549076745527986,1.8212390310545954,1.8218702234095772
49,49,0,2.04,5.16,0,1,0,0,0,485.7941610000003,631.6655230000005,5656.147200000012,1084.982816830829,1027.8762444282784,2039.3400000000001,1948.9249577454318,1702.9833572553746,27.136000000000013,0.0,33.4,0.0,131.2217410328193,27.136000000000013,33.4,7.070184000000013,2.549175,0.8124550898203597,1.2308372641509426,1.597161417824531
50,50,0,2.03,5.3,0,0,0,0,0,213.84418299999984,329.51250199999987,1656.4197999999963,907.8277984985255,861.482587977952,1888.09,1831.6143399606465,1673.1038975118481,16.729799999999997,0.0,33.66,0.0,107.2053822443115,16.729799999999997,33.66,2.0705247499999953,2.3601124999999996,0.49702317290552583,2.011978624968619,2.653541874740148
51,51,0,2.1,5.15,0,1,0,0,0,315.55561399999993,424.5762919999999,4751.5707999999995,705.589754635611,681.3951895525083,1856.6,1807.6213412205454,1669.0996518552565,20.138599999999997,0.0,34.22,0.0,108.46319231859536,20.138599999999997,34.22,5.939463499999997,2.32075,0.5885037989479835,1.699224375080691,21.952550594797053
52,52,0,2.03,5.33,0,0,0,0,0,256.1873090000001,399.07101299999994,1326.1452000000002,1273.8823809445475,1176.084435111115,2030.79,1936.119676423409,1679.1754611079284,19.386200000000002,0.0,32.8,0.0,126.04939485065012,19.386200000000002,32.8,1.6576815000000003,2.5384875000000005,0.5910426829268294,1.6919251838936973,4.4367313966012425
53,53,0,2.18,4.82,0,1,0,0,0,428.30001799999985,575.4595299999999,5530.496600000001,887.3515884476132,851.3049679847559,1959.38,1891.730940725227,1703.900712004199,24.6682,0.0,36.06,0.0,136.8295392434652,24.6682,36.06,6.913120750000001,2.449225,0.6840876317249028,1.4618010231796403,3.7602129458672455
54,54,0,2.32,5.12,1,0,0,0,0,97.86302899999995,177.1793839999999,5423.595400000001,17.805396659282867,18.161855900480944,501.92,501.40105948802443,499.8467772210758,10.6528,0.0,39.28,0.0,82.57565343040326,10.6528,39.28,6.779494250000003,0.6274,0.2712016293279022,3.6872934815259844,3.171600522628499
55,55,0,3.33,5.54,1,0,0,0,0,203.23201499999985,321.90205199999986,1071.9388000000001,1010.132897733508,955.9970258584405,1858.43,1805.9920483820724,1658.1975936906692,17.457,0.0,34.13,0.0,101.67324449485272,17.457,34.13,1.3399235000000003,2.3230375,0.5114854966305303,1.9550896488514637,1.6067185872339802
56,56,0,1.99,5.24,0,1,0,0,0,358.1132020000001,495.63572,3478.8776000000003,1052.09829703144,992.1293113766629,1971.79,1898.1015066294028,1694.6202454639956,22.763399999999997,0.0,35.76,0.0,125.68361246582006,22.763399999999997,35.76,4.348597000000002,2.4647375000000005,0.6365604026845637,1.570942829278579,2.1468321601388243
57,57,0,2.23,5.25,0,0,0,0,0,302.4991,476.07530999999994,1746.8568000000005,1621.0201436538684,1443.195300864496,2261.4700000000003,2081.1336935774198,1622.3883635155946,22.808800000000005,0.0,36.12,0.0,122.86739092988253,22.808800000000005,36.12,2.183571,2.8268375,0.6314728682170544,1.5835993125460344,8.32775232517909
58,58,0,2.04,5.23,0,0,0,0,0,367.6689759999999,517.4713909999998,2840.5655999999985,1358.7131233284517,1230.427631386119,2226.5699999999997,2063.258984954853,1642.9636418191105,23.787599999999998,0.0,33.08,0.0,121.8595160909041,23.787599999999998,33.08,3.5507069999999974,2.7832125000000003,0.719093107617896,1.3906405017740335,2.439031020539433
